Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune,Pluto,Arrange the following celestial body from nearest to farthest from the Sun
battery acid,lemon juice,acid rain,urine,pure water,sea water,baking soda,ammonia solution,liquid drain cleaner,Arrange the following substances in increasing order of there pH value.
Delhi,Jaipur,Surat,Mumbai,panaji,hyderabad,Raipur,Ranchi,Lucknow,Starting from the northernmost arrange these capital cities in anti-clockwise direction.
Triangle,Pentagon,Hexagon,Heptagon,Octagon,Nonagon,Decagon,Dodecagon,Quindeca -gon,Arrange the following geometrical figures in Increasing order of the number of sides they have.
Japan,Korea,China,India,Iran,France,spain,Brazil,USA,Arrange the following contries from left to right in globe.
0004,0045,0078,0123,0234,1000,1010,1100,1101,Starting for the lowest arrange these numbers in ascending order
Hydrogen,Helium,Sodium,Mangnesium,Potassium,Calcium,Bromine,Iodine,Uranium,Arrange the followig elements in ascending order of atomic Numbers
Babur,Humayun,Akbar,Jahangir,Alamgir,Azam Shah,Bahadur Shah,Jahandar Shah,Farrukhsiyar,Arrange the following Mughal rulers in chronological order
CV Raman,Jawaharlal Nehru,Rajendra Prasad,Indira Gandhi,Mother Teresa,Nelson Mandela,Amartya Sen,Lata Mangeshkar,Sachin Tendulkar,Arrange the list of Bharat ratna awardees in chronological order.
January,February,March,April,May,June,July,October,December,Arrange the months of the year in chronological order.
People,who,live,in,glass,houses,shouldn not,throw,stones,Arrange the words to make an english Proverb.
A,bird in, the, hand, is, worth, two ,in the, bush,Arrange the words to make an english Proverb.
