Identify the cricketer in the picture shown:,yuvraj singh,rahul dravid,manoj tiwary,irfan pathan,option4
Identify the australian fast bowler in the picture shown:,Brett lee,Glenn mcgrath,Mitchell starc,James faulkner,option4
Identify the Batsman in the picture shown:,Javed minadad,Jaheer abbas,Sachin Tendulkar,Virendra sehwag,option3
Identify the Australian cricketer:,Adam gilchrist,Micheal clarke,Ricky Ponting,Steve Waugh,option3
Identify the personality:,Yuvraj Sing,Virat Kohli,Manoj Tiwary,Dinesh Kartik,option2
Identify the person shown in figure:,Shoaib Akhtar,Wasim Akram,Waqar Younis,Shahid Afridi,option1
Identify the cricketer in the picture shown:,Monty Panesar,Harbhajan singh,Harmeet singh,None of these,option1
Identify the cricketer in the picture shown:,Lasith Malinga,Nuwan Kulsekhra,Angelo Mathews,Dilshan chandimal,option1
Identify the cricketer in the picture shown:,Ajanta Mendis,Nuwan Kulsekhra,Angelo Mathews,Dilshan chandimal,option1
Identify the cricketer in the picture shown:,Chris Gayle,Darren Sammy,Marlon Samuels,Brian Lara,option1
Identify the cricketer in the picture shown:,Chris Gayle,Darren Sammy,Marlon Samuels,Brian Lara,option3
Identify the cricketer in the picture shown:,Mohammad Hafeez,Misbah-ul-Haq,Umar Akmal,Shahid Afridi,option4
Identify the cricketer in the picture shown:,Sachin Tendulkar,M.S. Dhoni,Virender Sehwag,Mohammad Kaif,option3
Identify the cricketer in the picture shown:,Sachin Tendulkar,M.S. Dhoni,Virender Sehwag,Mohammad Kaif,option3
Identify the cricketer in the picture shown:,Bhuvneshwar Kumar,Ravindra Jadeja,Amit mishra,Ravichandran Ashwin,option3
Identify the cricketer in the picture shown:,Dinesh kartik,Sachin Tendulkar,Rohit sharma,Amit Mishra,option1
Identify the Monument:,Red fort,Humayun's Tomb,jama Masjid,Hauz khas,option1
Identify the indian athelete in the picture shown:,Sania mirza,Saina nehwal,Joshna Chinappa,Jwala Gutta,option2
Identify the Indian athelte in he picture shown:,Yogeshwar Dutt,Sushil Kumar ,Vijender kumar,Akhil Kumar,option2
Identify the person in the picture shown:,Steve Ballmer,Sundar Pichai,Satya nandella,Paul Allen,option3
Identify the Person  in the picture shown:,Abhishek bachchan,Aamir Khan,Amitabh Bachchan,none of these,option3
Identify the indian athelete in the picture shown:,Abdul Khalid,Milkha Singh,Ram singh,Bishan singh Bedi,option2
Identify the person in the picture shown:,Kofi annan,Ban ki-moon,John kerry,Sergey Lavrov,option2
Identify the movie from the poster shown:,The Lunchbox,Jolly llb,Kahani,Udaan,option1
Identify the cartoon character in the picture shown:,Little Krishna,Hangimaru,Chota Bheem,Samurai jack,option3
Identify the cricketer in the picture shown:,Graeme Smith,Ab devilliars,JP duminy,Faf du plesis,option2
Identify the Politician in the picture shown:,Atal Bihari Vajpayee,Narendra Modi,Anand pawar,Praveen Togariya,option2
Identify the Politician in the picture shown:,Arvind Kejriwal,Rahul Gandhi,Arun Jetli,Amit Shah,option1
Identify the Politician in the picture shown:,Rajnath Singh,L.K. Advani,Arun Jaitly,Amit Shah,option3
Identify the Politician in the picture shown:,Rajeev Gandhi,Feroz gandhi,Sanjay Gandhi,Rahul Gandhi,option1
Identify the Politician in the picture shown:,Parkash Singh Badal,Manmohan Singh,Amarinder Singh,Surjit Singh Barnala,option2
Identify the Politician in the picture shown:,Arun jaitly,P chidambaram,Pranab Mukherjee,Subramanian Swamy,option2
Identify the Politician in the picture shown:,Vijaykanth,Rajnikanth,Karunanidhi,M. G. Ramachandran,option3
Identify the Politician in the picture shown:,Bal Thackeray,Uddhav Thackeray,Sharad Pawar,Raj Thackerey,option1
Identify the Footballer in the picture shown:,zinedine zidane,Enzo Fernandez,Ronaldinho,Cristiano Ronaldo,option1
Identify the Footballer in the picture shown:,Cristiano Ronaldo,Lionel Messi,Andres Iniesta,Fernando Torres,option2
Identify the Footballer in the picture shown:,Baichung Bhutia,Subrata Pal,Syed Nabi,Sunil Chhetri,option4
Identify the Politician in the picture shown:,Nelson mandela,Barack obama,Morgan Freeman,Jacob zuma,option1
Identify the filmstar in the picture:,Kamal Haasan,Dhanush,Rajnikanth,Ajith Kumar,option3
Identify the women in picture shown:,Chanda Kochhar,Indra Nooyi,Kiran Mazumdar,kiran bedi,option2
Identify the women in picture shown:,Chanda Kochhar,Indra Nooyi,Medha patekar,kiran bedi,option4
